year,link,name
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Yorgos Mavropsaridis - ""Poor Things"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Italy - ""Io Capitano"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Japan - ""Perfect Days"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Spain - ""Society of the Snow"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Germany - ""The Teachers' Lounge"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Karen Hartley Thomas, Suzi Battersby and Ashra Kelly-Blue - ""Golda"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Kazu Hiro, Kay Georgiou and Lori McCoy-Bell - ""Maestro"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Luisa Abel - ""Oppenheimer"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Ana López-Puigcerver, David Martí and Montse Ribé - ""Society of the Snow"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Laura Karpman - ""American Fiction"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"John Williams - ""Indiana Jones and the Dial of Destiny"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Robbie Robertson - ""Killers of the Flower Moon"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Jerskin Fendrix - ""Poor Things"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Music and Lyric by Diane Warren - ""Flamin' Hot"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Music and Lyric by Mark Ronson and Andrew Wyatt - ""Barbie"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Music and Lyric by Jon Batiste and Dan Wilson - ""American Symphony"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Music and Lyric by Scott George - ""Killers of the Flower Moon"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Ben LeClair, Nikos Karamigios, Cord Jefferson and Jermaine Johnson, Producers - ""American Fiction"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Marie-Ange Luciani and David Thion, Producers - ""Anatomy of a Fall"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"David Heyman, Margot Robbie, Tom Ackerley and Robbie Brenner, Producers - ""Barbie"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Mark Johnson, Producer - ""The Holdovers"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Dan Friedkin, Bradley Thomas, Martin Scorsese and Daniel Lupi, Producers - ""Killers of the Flower Moon"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"Bradley Cooper, Steven Spielberg, Fred Berner, Amy Durning and Kristie Macosko Krieger, Producers - ""Maestro"""
Oscar Awards 2024,output/pages/e0e8d1fc-6525-4483-aa92-e1cc683a7a03.html,"David Hinojosa, Christine Vachon and Pamela Koffler, Producers - ""Past Lives"""
